p,m,kind,θ,λ_min,λ_max,κ
2,1,Dirichlet,1.0,0.9999999999999472,2.0416666666666665,2.0416666666667744
2,1,Dirichlet,0.0,0.9999999999999472,2.0416666666666665,2.0416666666667744
3,1,Dirichlet,-0.0625,0.999999999999844,2.614399208665368,2.6143992086657755
3,1,Dirichlet,0.0,0.999999999999844,2.614399208665368,2.6143992086657755
4,1,Dirichlet,-0.0625,0.9999999999996337,3.2414831312996704,3.2414831313008574
4,1,Dirichlet,0.0,0.9999999999996337,3.2414831312996704,3.2414831313008574
8,1,Dirichlet,-0.0625,0.999999999998532,5.194529913448625,5.194529913456251
8,1,Dirichlet,0.0,0.999999999998532,5.194529913448625,5.194529913456251
16,1,Dirichlet,0.0,0.999999999993277,7.756317490204899,7.756317490257044
16,1,Dirichlet,-0.0625,0.999999999993277,7.756317490204899,7.756317490257044
32,1,Dirichlet,-0.0625,0.9999999999587119,10.96078129475398,10.96078129520653
32,1,Dirichlet,0.0,0.9999999999587119,10.96078129475398,10.96078129520653
