finep,coarsep,k,c,θ,ρ
2,1,1,0.1,-0.0625,0.6658075380003818
2,1,1,0.1,0.0,0.6658075380003818
2,1,1,0.15,-1.0,0.0
2,1,1,0.15,-1.0,0.0
2,1,1,0.2,-1.0,0.0
2,1,1,0.2,-1.0,0.0
2,1,1,0.25,-1.0,0.0
2,1,1,0.25,-1.0,0.0
2,1,1,0.3,-1.0,0.0
2,1,1,0.3,-1.0,0.0
2,1,1,0.35,-1.0,0.0
2,1,1,0.35,-1.0,0.0
2,1,1,0.4,-1.0,0.0
2,1,1,0.4,-1.0,0.0
2,1,2,0.1,1.4375,0.10665031399741354
2,1,2,0.1,1.4375,0.10665031399741354
2,1,2,0.15,1.4375,0.07000889002129124
2,1,2,0.15,1.4375,0.07000889002129124
2,1,2,0.2,1.4375,0.04718446724520194
2,1,2,0.2,1.4375,0.04718446724520194
2,1,2,0.25,1.4375,0.03637162410327124
2,1,2,0.25,1.4375,0.03637162410327124
2,1,2,0.3,1.4375,0.033185168592903325
2,1,2,0.3,1.4375,0.033185168592903325
2,1,2,0.35,1.4375,0.03264564874040443
2,1,2,0.35,1.4375,0.03264564874040443
2,1,2,0.4,1.4375,0.033663488384400884
2,1,2,0.4,1.4375,0.033663488384400884
2,1,3,0.1,1.4375,0.07007404451679058
2,1,3,0.1,1.4375,0.07007404451679058
2,1,3,0.15,1.4375,0.025098538910126932
2,1,3,0.15,1.4375,0.025098538910126932
2,1,3,0.2,1.4375,0.009401455866291607
2,1,3,0.2,1.4375,0.009401455866291607
2,1,3,0.25,1.4375,0.004250035064530449
2,1,3,0.25,1.4375,0.004250035064530449
2,1,3,0.3,1.4375,0.004752295313413191
2,1,3,0.3,1.4375,0.004752295313413191
2,1,3,0.35,1.4375,0.006761114787753589
2,1,3,0.35,1.4375,0.006761114787753589
2,1,3,0.4,1.4375,0.009333692382152368
2,1,3,0.4,1.4375,0.009333692382152368
2,1,4,0.1,1.4375,0.020979525304859605
2,1,4,0.1,1.4375,0.020979525304859605
2,1,4,0.15,1.4375,0.005706792405810361
2,1,4,0.15,1.4375,0.005706792405810361
2,1,4,0.2,1.4375,0.0017109238651000851
2,1,4,0.2,1.4375,0.0017109238651000851
2,1,4,0.25,1.4375,0.0005650103364299854
2,1,4,0.25,1.4375,0.0005650103364299854
2,1,4,0.3,1.4375,0.0009815034721815494
2,1,4,0.3,1.4375,0.0009815034721815494
2,1,4,0.35,1.4375,0.002037515218790059
2,1,4,0.35,1.4375,0.002037515218790059
2,1,4,0.4,1.4375,0.0033146787721888473
2,1,4,0.4,1.4375,0.0033146787721888473
4,1,1,0.1,0.0,0.7678153393958211
4,1,1,0.1,1.0,0.7678153393958211
4,1,1,0.15,1.0625,0.7714339631855961
4,1,1,0.15,0.125,0.7714339631855961
4,1,1,0.2,1.1250000000000002,0.7686406322145958
4,1,1,0.2,0.18749999999999992,0.7686406322145958
4,1,1,0.25,1.1875,0.7686390282268701
4,1,1,0.25,0.125,0.7686390282268701
4,1,1,0.3,1.1875,0.7679460394336763
4,1,1,0.3,0.25,0.7679460394336763
4,1,1,0.35,1.25,0.7688736879102841
4,1,1,0.35,0.125,0.7688736879102841
4,1,1,0.4,1.25,0.7728188612746305
4,1,1,0.4,0.18749999999999992,0.7728188612746305
4,1,2,0.1,-1.0,0.0
4,1,2,0.1,-1.0,0.0
4,1,2,0.15,-1.0,0.0
4,1,2,0.15,-1.0,0.0
4,1,2,0.2,-1.0,0.0
4,1,2,0.2,-1.0,0.0
4,1,2,0.25,-1.0,0.0
4,1,2,0.25,-1.0,0.0
4,1,2,0.3,-1.0,0.0
4,1,2,0.3,-1.0,0.0
4,1,2,0.35,-1.0,0.0
4,1,2,0.35,-1.0,0.0
4,1,2,0.4,-1.0,0.0
4,1,2,0.4,-1.0,0.0
4,1,3,0.1,-1.0,0.0
4,1,3,0.1,-1.0,0.0
4,1,3,0.15,-1.0,0.0
4,1,3,0.15,-1.0,0.0
4,1,3,0.2,-1.0,0.0
4,1,3,0.2,-1.0,0.0
