finep,coarsep,k,c,θ,ρ
8,2,1,0.3,-0.0625,0.7116119852569154
8,2,1,0.35,-0.0625,0.7214180384299312
8,2,1,0.4,-0.0625,0.7305840704121976
8,2,2,0.1,0.75,0.2604357266755015
8,2,2,0.15,-0.0625,0.31000451335936735
8,2,2,0.2,-0.0625,0.36165698931089313
8,2,2,0.25,-0.0625,0.40404521656158027
8,2,2,0.3,-0.0625,0.4393630528484326
8,2,2,0.35,-0.0625,0.46922582990311357
8,2,2,0.4,-0.0625,0.4948158253458087
8,2,3,0.1,0.31250000000000006,0.09764705780763862
8,2,3,0.15,-0.0625,0.14034437210600703
8,2,3,0.2,-0.0625,0.19775521015186615
8,2,3,0.25,-0.0625,0.24494288417189236
8,2,3,0.3,-0.0625,0.2841369424770693
8,2,3,0.35,-0.0625,0.3172383728239966
8,2,3,0.4,-0.0625,0.34565009723165613
8,2,4,0.1,1.0,0.05897690920961671
8,2,4,0.15,-0.0625,0.06712263017174734
8,2,4,0.2,-0.0625,0.11244302325130838
8,2,4,0.25,-0.0625,0.15203737154362454
8,2,4,0.3,-0.0625,0.18631783640077781
8,2,4,0.35,-0.0625,0.21622719110743052
8,2,4,0.4,-0.0625,0.2425978614485979
8,4,1,0.1,-0.0625,0.6495127880517284
8,4,1,0.15,-0.0625,0.5320837862940135
8,4,1,0.2,-0.0625,0.43520768661936704
8,4,1,0.25,-0.0625,0.35525852726187246
8,4,1,0.3,-0.0625,0.2894406573225126
8,4,1,0.35,-0.0625,0.24991275066006677
8,4,1,0.4,-0.0625,0.2674279936077403
8,4,2,0.1,-0.0625,0.24566563986575002
8,4,2,0.15,-0.0625,0.1371987491736204
8,4,2,0.2,0.625,0.08081085270430824
8,4,2,0.25,0.9374999999999999,0.055088376210584905
8,4,2,0.3,1.0,0.05006561807549495
8,4,2,0.35,1.0,0.05140097680971084
8,4,2,0.4,1.0,0.05520440328428017
8,4,3,0.1,0.31250000000000006,0.0751544650823016
8,4,3,0.15,-0.375,0.029506014863799657
8,4,3,0.2,1.0,0.016184481277228744
8,4,3,0.25,1.0,0.018963968027107626
8,4,3,0.3,1.0,0.02264783557747319
8,4,3,0.35,1.0,0.02649977026001213
8,4,3,0.4,1.0,0.03034160768667104
8,4,4,0.1,1.0,0.022340497515489402
8,4,4,0.15,1.0,0.008184231775268948
8,4,4,0.2,1.0,0.006778878279514124
8,4,4,0.25,1.0,0.00874586457175966
8,4,4,0.3,1.0,0.011589702209036578
8,4,4,0.35,1.0,0.014599106571932354
8,4,4,0.4,1.0,0.01756213765596019
16,1,1,0.1,1.0,0.9701793415821399
16,1,1,0.15,1.0,0.9714665057312618
16,1,1,0.2,1.0,0.9726471557949959
16,1,1,0.25,1.0,0.973733987110395
16,1,1,0.3,1.0,0.9747377546598742
16,1,1,0.35,1.0,0.97566763011819
16,1,1,0.4,1.0,0.9765314828599977
16,1,2,0.1,1.0,0.9123619582361581
16,1,2,0.15,1.0,0.9230276019497207
16,1,2,0.2,1.0,0.9309008990845676
16,1,2,0.25,1.0,0.9369625852084618
16,1,2,0.3,1.0,0.9417820075916666
16,1,2,0.35,1.0,0.9457123480001537
16,1,2,0.4,1.0,0.9489843194727736
16,1,3,0.1,1.0,0.8574533161211763
16,1,3,0.15,1.0,0.8798148871389637
16,1,3,0.2,1.0,0.8944705123351129
16,1,3,0.25,1.0,0.9049230706423533
16,1,3,0.3,1.0,0.9128202312217838
16,1,3,0.35,1.0,0.9190406058650069
16,1,3,0.4,1.0,0.9240965907530022
16,1,4,0.1,1.0,0.8093946395490178
16,1,4,0.15,1.0,0.8412172804163023
16,1,4,0.2,1.0,0.8611107114815951
16,1,4,0.25,1.0,0.8749850265747204
16,1,4,0.3,1.0,0.8853549111648297
16,1,4,0.35,1.0,0.8934818893600344
16,1,4,0.4,1.0,0.900073691768794
16,2,1,0.1,-0.0625,0.9116053190886597
16,2,1,0.15,-0.0625,0.9153634500866477
16,2,1,0.2,-0.0625,0.9188152041067635
16,2,1,0.25,-0.0625,0.9219965614347339
16,2,1,0.3,-0.0625,0.9249380839471231
16,2,1,0.35,-0.0625,0.9276658970528459
16,2,1,0.4,-0.0625,0.9302024660826214
16,2,2,0.1,-0.0625,0.7519337404669666
16,2,2,0.15,-0.0625,0.7806811534371783
16,2,2,0.2,-0.0625,0.8021423565598391
16,2,2,0.25,-0.0625,0.8188032866826478
16,2,2,0.3,-0.0625,0.832135092385704
16,2,2,0.35,-0.0625,0.8430634309109889
16,2,2,0.4,-0.0625,0.8521996464384045
16,2,3,0.1,-0.0625,0.6167143439146634
16,2,3,0.15,-0.0625,0.6717099147058966
16,2,3,0.2,-0.0625,0.7086826249222011
16,2,3,0.25,-0.0625,0.7355044965242244
16,2,3,0.3,-0.0625,0.7560233461749064
16,2,3,0.35,-0.0625,0.7723430560364352
16,2,3,0.4,-0.0625,0.7857126833442616
16,2,4,0.1,-0.0625,0.5126983189967327
16,2,4,0.15,-0.0625,0.5837600768922357
16,2,4,0.2,-0.0625,0.6300256324792246
16,2,4,0.25,-0.0625,0.6631573369279447
