p,ω,θ,ρ
2,1.0,0.5000000000000001,0.7559289460184544
4,0.91,0.5000000000000001,0.954993451479252
8,0.82,0.5000000000000001,0.9918585345934762
16,0.75,0.5000000000000001,0.9984846471940714
