p,ω,θ,ρ
2,1.05,0.0,0.8392165313210715
2,1.05,1.5,0.8392165313210715
4,1.0,1.5,0.9718657882287576
4,1.0,0.0,0.9718657882287576
8,0.87,0.0,0.9952895206977186
8,0.87,1.5,0.9952895206977186
