finep,coarsep,k,θ,ρ
2,1,1,-0.020000000000000028,0.49746569817261543
2,1,1,1.0199999999999998,0.49746569817261543
2,1,1,-0.020000000000000028,0.49746569817261543
2,1,2,1.0199999999999998,0.3830501555124702
2,1,2,-0.020000000000000028,0.3830501555124702
2,1,2,-0.020000000000000028,0.3830501555124702
2,1,3,0.37999999999999995,0.1452324411250543
2,1,3,1.0199999999999998,0.1452324411250543
2,1,3,1.0199999999999998,0.1452324411250543
2,1,4,-0.17999999999999997,0.029119143425672508
2,1,4,-0.1,0.029119143425672508
2,1,4,1.0199999999999998,0.029119143425672508
3,1,1,-0.020000000000000028,0.9562405860160678
3,1,1,-0.020000000000000028,0.9562405860160678
3,1,1,-0.020000000000000028,0.9562405860160678
3,1,2,-0.020000000000000028,0.9772022731784624
3,1,2,-0.020000000000000028,0.9772022731784624
3,1,2,-0.020000000000000028,0.9772022731784624
3,1,3,-0.020000000000000028,0.3535520610983256
3,1,3,-0.020000000000000028,0.3535520610983256
3,1,3,-0.020000000000000028,0.3535520610983256
3,1,4,0.62,0.020481959632599012
3,1,4,1.26,0.020481959632599012
3,1,4,1.26,0.020481959632599012
3,2,1,-0.020000000000000028,0.36821226425319553
3,2,1,-0.020000000000000028,0.36821226425319553
3,2,1,1.0199999999999998,0.36821226425319553
3,2,2,-0.020000000000000028,0.47716541646239224
3,2,2,0.6999999999999998,0.47716541646239224
3,2,2,-0.020000000000000028,0.47716541646239224
3,2,3,-0.020000000000000028,0.05590799577815613
3,2,3,1.5,0.05590799577815613
3,2,3,-0.020000000000000028,0.05590799577815613
3,2,4,0.8600000000000002,0.020481484256802553
3,2,4,0.54,0.020481484256802553
3,2,4,-0.020000000000000028,0.020481484256802553
4,1,1,-0.020000000000000028,0.8530448739310093
4,1,1,-0.020000000000000028,0.8530448739310093
4,1,1,1.0199999999999998,0.8530448739310093
4,1,2,1.0199999999999998,1.3656405379268113
4,1,2,1.0199999999999998,1.3656405379268113
4,1,2,1.0199999999999998,1.3656405379268113
4,1,3,1.0199999999999998,2.0895650049545256
4,1,3,1.0199999999999998,2.0895650049545256
4,1,3,1.0199999999999998,2.0895650049545256
4,1,4,1.0199999999999998,2.0625076603932686
4,1,4,1.0199999999999998,2.0625076603932686
4,1,4,1.0199999999999998,2.0625076603932686
4,2,1,1.0199999999999998,0.610536096273928
4,2,1,1.0199999999999998,0.610536096273928
4,2,1,1.0199999999999998,0.610536096273928
4,2,2,1.0199999999999998,1.3656306869565216
4,2,2,1.0199999999999998,1.3656306869565216
4,2,2,1.0199999999999998,1.3656306869565216
4,2,3,1.0199999999999998,2.0895421856707745
4,2,3,1.0199999999999998,2.0895421856707745
4,2,3,1.0199999999999998,2.0895421856707745
4,2,4,1.0199999999999998,2.0624851148576915
4,2,4,1.0199999999999998,2.0624851148576915
4,2,4,1.0199999999999998,2.0624851148576915
4,3,1,-0.020000000000000028,0.37772302923968215
4,3,1,-0.020000000000000028,0.37772302923968215
4,3,1,-0.020000000000000028,0.37772302923968215
4,3,2,1.0199999999999998,0.44352807263893557
4,3,2,1.3399999999999999,0.44352807263893557
4,3,2,1.0199999999999998,0.44352807263893557
4,3,3,1.0199999999999998,0.24365014613339414
4,3,3,1.3399999999999999,0.24365014613339414
4,3,3,1.0199999999999998,0.24365014613339414
4,3,4,0.6999999999999998,0.05866486987683426
4,3,4,1.26,0.05866486987683426
4,3,4,0.6999999999999998,0.05866486987683426
5,1,1,-0.020000000000000028,2.6528673768185334
5,1,1,-0.020000000000000028,2.6528673768185334
5,1,1,-0.020000000000000028,2.6528673768185334
5,1,2,-0.020000000000000028,1.726767149172184
5,1,2,-0.020000000000000028,1.726767149172184
5,1,2,-0.020000000000000028,1.726767149172184
5,1,3,-0.020000000000000028,0.5257576824449676
5,1,3,-0.020000000000000028,0.5257576824449676
5,1,3,-0.020000000000000028,0.5257576824449676
5,1,4,1.0199999999999998,0.03173673037230892
5,1,4,1.0199999999999998,0.03173673037230892
5,1,4,1.42,0.03173673037230892
5,2,1,-0.020000000000000028,2.639440085636954
5,2,1,-0.020000000000000028,2.639440085636954
5,2,1,-0.020000000000000028,2.639440085636954
5,2,2,-0.020000000000000028,1.7194538118241607
5,2,2,-0.020000000000000028,1.7194538118241607
5,2,2,-0.020000000000000028,1.7194538118241607
5,2,3,-0.020000000000000028,0.5231012315608499
5,2,3,-0.020000000000000028,0.5231012315608499
5,2,3,-0.020000000000000028,0.5231012315608499
5,2,4,-0.020000000000000028,0.03173665467900668
5,2,4,-0.1,0.03173665467900668
5,2,4,-0.26,0.03173665467900668
5,3,1,-0.020000000000000028,2.639427504003047
5,3,1,-0.020000000000000028,2.639427504003047
5,3,1,-0.020000000000000028,2.639427504003047
5,3,2,-0.020000000000000028,1.7194467304426295
5,3,2,-0.020000000000000028,1.7194467304426295
5,3,2,-0.020000000000000028,1.7194467304426295
5,3,3,-0.020000000000000028,0.5230987051709889
5,3,3,-0.020000000000000028,0.5230987051709889
5,3,3,-0.020000000000000028,0.5230987051709889
5,3,4,-0.17999999999999997,0.03173223187127698
5,3,4,1.0199999999999998,0.03173223187127698
5,3,4,1.0199999999999998,0.03173223187127698
5,4,1,-0.020000000000000028,0.8188300762363758
5,4,1,-0.020000000000000028,0.8188300762363758
5,4,1,1.0199999999999998,0.8188300762363758
5,4,2,-0.020000000000000028,0.5088164948832219
5,4,2,-0.020000000000000028,0.5088164948832219
5,4,2,1.0199999999999998,0.5088164948832219
5,4,3,1.0199999999999998,0.04751633036313127
5,4,3,-0.020000000000000028,0.04751633036313127
5,4,3,-0.020000000000000028,0.04751633036313127
5,4,4,1.0199999999999998,0.03087171814444946
5,4,4,1.0199999999999998,0.03087171814444946
5,4,4,-0.020000000000000028,0.03087171814444946
6,1,1,1.0199999999999998,1.4082755313199409
6,1,1,1.0199999999999998,1.4082755313199409
6,1,1,1.0199999999999998,1.4082755313199409
6,1,2,1.0199999999999998,1.9599227053707717
6,1,2,1.0199999999999998,1.9599227053707717
6,1,2,1.0199999999999998,1.9599227053707717
6,1,3,1.0199999999999998,2.135662307197245
6,1,3,1.0199999999999998,2.135662307197245
6,1,3,1.0199999999999998,2.135662307197245
6,1,4,1.0199999999999998,1.4001360584941285
6,1,4,1.0199999999999998,1.4001360584941285
6,1,4,1.0199999999999998,1.4001360584941285
6,2,1,1.0199999999999998,1.4082755233209716
6,2,1,1.0199999999999998,1.4082755233209716
6,2,1,1.0199999999999998,1.4082755233209716
6,2,2,1.0199999999999998,1.9599226899717408
6,2,2,1.0199999999999998,1.9599226899717408
6,2,2,1.0199999999999998,1.9599226899717408
6,2,3,1.0199999999999998,2.1356622816159327
6,2,3,1.0199999999999998,2.1356622816159327
6,2,3,1.0199999999999998,2.1356622816159327
6,2,4,1.0199999999999998,1.4001360399610048
6,2,4,1.0199999999999998,1.4001360399610048
6,2,4,1.0199999999999998,1.4001360399610048
6,3,1,1.0199999999999998,1.3982531257337512
6,3,1,1.0199999999999998,1.3982531257337512
6,3,1,1.0199999999999998,1.3982531257337512
6,3,2,1.0199999999999998,1.9466691607818114
6,3,2,1.0199999999999998,1.9466691607818114
6,3,2,1.0199999999999998,1.9466691607818114
6,3,3,1.0199999999999998,2.1182550037163583
6,3,3,1.0199999999999998,2.1182550037163583
6,3,3,1.0199999999999998,2.1182550037163583
6,3,4,1.0199999999999998,1.388743988183729
6,3,4,1.0199999999999998,1.388743988183729
6,3,4,1.0199999999999998,1.388743988183729
6,4,1,1.0199999999999998,1.3982505143024064
6,4,1,1.0199999999999998,1.3982505143024064
6,4,1,1.0199999999999998,1.3982505143024064
6,4,2,1.0199999999999998,1.9466661620144494
6,4,2,1.0199999999999998,1.9466661620144494
6,4,2,1.0199999999999998,1.9466661620144494
6,4,3,1.0199999999999998,2.118251365445127
6,4,3,1.0199999999999998,2.118251365445127
6,4,3,1.0199999999999998,2.118251365445127
6,4,4,1.0199999999999998,1.3887416176075447
6,4,4,1.0199999999999998,1.3887416176075447
6,4,4,1.0199999999999998,1.3887416176075447
6,5,1,1.0199999999999998,0.39278074983862576
6,5,1,-0.020000000000000028,0.39278074983862576
6,5,1,-0.020000000000000028,0.39278074983862576
6,5,2,-0.020000000000000028,0.5544526457668033
6,5,2,1.0199999999999998,0.5544526457668033
6,5,2,1.0199999999999998,0.5544526457668033
6,5,3,1.0199999999999998,0.15530700291179478
6,5,3,-0.020000000000000028,0.15530700291179478
6,5,3,1.0199999999999998,0.15530700291179478
6,5,4,-0.17999999999999997,0.021964652644016643
6,5,4,1.0199999999999998,0.021964652644016643
6,5,4,-0.17999999999999997,0.021964652644016643
